"Statistic Label","Year","Employment Size","Activity","UNIT","VALUE"
"Active Enterprises","2019","All persons engaged size classes","Creative, Arts and Entertainment Activities (R90)","Number","7006"
"Active Enterprises","2019","All persons engaged size classes","Libraries, Archives, Museums and Other Cultural Activities (R90)","Number","260"
"Active Enterprises","2019","All persons engaged size classes","Gambling and Betting Activities (R92)","Number","416"
"Active Enterprises","2019","All persons engaged size classes","Sports Activities and Amusement and Recreation Activities (R93)","Number","4591"
"Active Enterprises","2019","All persons engaged size classes","Repair of Computers and Personal and Household Goods (S95)","Number","1670"
"Active Enterprises","2019","All persons engaged size classes","Other Personal Service Activities (S96)","Number","14496"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale in Non-Specialised Stores (G471)","Number","4387"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Food, Beverages and Tobacco in Specialised Stores (G472)","Number","2870"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Automotive Fuel in Specialised Stores (G473)","Number","993"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Information and Communication Equipment in Specialised Stores (G474)","Number","894"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Other Household Equipment in Specialised Stores (G475)","Number","2755"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Cultural and Recreation Goods in Specialised Stores (G476)","Number","1357"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale of Other Goods in Specialised Stores (G477)","Number","8516"
"Active Enterprises","2019","All persons engaged size classes","Retail Sale via Stalls and Markets (G478)","Number","365"
"Active Enterprises","2019","All persons engaged size classes","Retail Trade not in Stores, Stalls or Markets (G479)","Number","1737"
"Active Enterprises","2019","All persons engaged size classes","Computer Programming, Consultancy and Related Activities (J620)","Number","10443"
"Active Enterprises","2019","All persons engaged size classes","Buying and Selling of Own Real Estate (L681)","Number","416"
"Active Enterprises","2019","All persons engaged size classes","Renting and Operating of Own or Leased Real Estate (L682)","Number","10505"
"Active Enterprises","2019","All persons engaged size classes","Real Estate Activities on a Fee or Contract Basis (L683)","Number","4867"
"Active Enterprises","2019","All persons engaged size classes","Legal Activities (M691)","Number","4953"
"Active Enterprises","2019","All persons engaged size classes","Accounting, Bookkeeping and Auditing Activities; Tax Consultancy (M692)","Number","6943"
"Active Enterprises","2019","All persons engaged size classes","Activities of Head Offices (M701)","Number","484"
"Active Enterprises","2019","All persons engaged size classes","Management Consultancy Activities (M702)","Number","11109"
"Active Enterprises","2019","All persons engaged size classes","Architectural and Engineering Activities and Related Technical Consultancy (M711)","Number","8838"
"Active Enterprises","2019","All persons engaged size classes","Technical Testing and Analysis (M712)","Number","402"
"Active Enterprises","2019","All persons engaged size classes","Research and Experimental Development on Natural Sciences and Engineering (M721)","Number","632"
"Active Enterprises","2019","All persons engaged size classes","Research and Experimental Development on Social Sciences and Humanities (722)","Number","186"
"Active Enterprises","2019","All persons engaged size classes","Advertising (M731)","Number","1602"
"Active Enterprises","2019","All persons engaged size classes","Market Research and Public Opinion Polling (M732)","Number","238"
"Active Enterprises","2019","All persons engaged size classes","Specialised Design Activities (M741)","Number","2955"
"Active Enterprises","2019","All persons engaged size classes","Photographic Activities (M742)","Number","1829"
"Active Enterprises","2019","All persons engaged size classes","Translation and Interpretation Activities (M743)","Number","608"
"Active Enterprises","2019","All persons engaged size classes","Other Professional, Scientific and Technical Activities n.e.c. (M749)","Number","3188"
"Active Enterprises","2019","All persons engaged size classes","Veterinary Activities (M750)","Number","1194"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Motor Vehicles (N771)","Number","195"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Personal and Household Goods (N772)","Number","357"
"Active Enterprises","2019","All persons engaged size classes","Renting and Leasing of Other Machinery, Equipment and Tangible goods (N773)","Number","4755"
"Active Enterprises","2019","All persons engaged size classes","Leasing of Intellectual Property and Similar Products, except Copyrighted Works (N774)","Number","193"
"Active Enterprises","2019","All persons engaged size classes","Activities of Employment Placement Agencies (N781)","Number","1325"
"Active Enterprises","2019","All persons engaged size classes","Temporary Employment Agency Activities (N782)","Number","111"
"Active Enterprises","2019","All persons engaged size classes","Other Human Resources Provision (N783)","Number","223"
"Active Enterprises","2019","All persons engaged size classes","Travel Agency and Tour Operator Activities (N791)","Number","744"
"Active Enterprises","2019","All persons engaged size classes","Other Reservation Service and Related Activities (N799)","Number","511"
"Active Enterprises","2019","All persons engaged size classes","Private Security Activities (N801)","Number","277"
"Active Enterprises","2019","All persons engaged size classes","Security Systems Service Activities (N802)","Number","609"
"Active Enterprises","2019","All persons engaged size classes","Investigation Activities (N803)","Number","113"
"Active Enterprises","2019","All persons engaged size classes","Combined Facilities support Activities (N811)","Number","294"
"Active Enterprises","2019","All persons engaged size classes","Cleaning Activities (N812)","Number","2357"
"Active Enterprises","2019","All persons engaged size classes","Landscape Service Activities (N813)","Number","3476"
"Active Enterprises","2019","All persons engaged size classes","Office Administrative and Support Activities (N821)","Number","719"
"Active Enterprises","2019","All persons engaged size classes","Activities of Call Centres (N822)","Number","85"
"Active Enterprises","2019","All persons engaged size classes","Organisation of Conventions and Trade Shows (N823)","Number","629"
"Active Enterprises","2019","All persons engaged size classes","Business Support Service Activities n.e.c. (N829)","Number","1124"
"Active Enterprises","2019","All persons engaged size classes","ICT Manufacturing (C261 TO C264,C268)","Number","241"
"Active Enterprises","2019","All persons engaged size classes","Computer Programming Activities (J6201)","Number","3248"
"Active Enterprises","2019","All persons engaged size classes","Computer Consultancy Activities (J6202)","Number","4912"
"Active Enterprises","2019","All persons engaged size classes","Computer Facilities Management Activities (J6203)","Number","64"
"Active Enterprises","2019","All persons engaged size classes","Other Information Technology and Computer Service Activities (J6209)","Number","2219"
"Active Enterprises","2019","All persons engaged size classes","Food Products, Beverages and Tobacco (C10 to C12)","Number","1966"
"Active Enterprises","2019","All persons engaged size classes","Textiles and Wearing Apparel (C13,C14)","Number","797"
"Active Enterprises","2019","All persons engaged size classes","Paper and Paper Products; Printing and Reproduction of Recorded Media (C17,C18)","Number","1475"
"Active Enterprises","2019","All persons engaged size classes","Basic Metals and Fabricated Metal Products (C24,C25)","Number","3473"
"Active Enterprises","2019","All persons engaged size classes","Transport Equipment (C29,C30)","Number","237"
"Active Enterprises","2019","All persons engaged size classes","Furniture and Other Manufacturing (C31,C32)","Number","2248"
"Active Enterprises","2019","All persons engaged size classes","ICT Services (G465,J582,J61,J62,J631,S951)","Number","13353"
"Active Enterprises","2019","All persons engaged size classes","Business Economy excluding Sector O and Activities of Membership Organisations (B to S-O-S94)","Number","342214"
"Active Enterprises","2019","All persons engaged size classes","Service Economy excluding Sector O and Activities of Membership Organisations (G to S-O-S94)","Number","264440"
"Active Enterprises","2019","Under 10","Mining and Quarrying (B)","Number","384"
"Active Enterprises","2019","Under 10","Manufacturing (C)","Number","14095"
"Active Enterprises","2019","Under 10","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number","641"
"Active Enterprises","2019","Under 10","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number","856"
"Active Enterprises","2019","Under 10","Construction (F)","Number","56935"
"Active Enterprises","2019","Under 10","WholeSale and Retail Trade; Repair of Motor Vehicles and Motorcycles (G)","Number","40128"
"Active Enterprises","2019","Under 10","Transportation and Storage (H)","Number","23643"
"Active Enterprises","2019","Under 10","Accommodation and Food Service Activities (I)","Number","14905"
"Active Enterprises","2019","Under 10","Information and Communication (J)","Number","15142"
"Active Enterprises","2019","Under 10","Financial and Insurance Activities (K)","Number","12555"
"Active Enterprises","2019","Under 10","Real Estate Activities (L)","Number","15458"
"Active Enterprises","2019","Under 10","Professional, Scientific and Technical Activities (M)","Number","42833"
"Active Enterprises","2019","Under 10","Administrative and Support Service Activities (N)","Number","16638"
"Active Enterprises","2019","Under 10","Education (P)","Number","13828"
"Active Enterprises","2019","Under 10","Human Health and Social Work Activities (Q)","Number","18084"
"Active Enterprises","2019","Under 10","Arts, Entertainment and Recreation (R)","Number","11447"
"Active Enterprises","2019","Under 10","Leather and Related Products (C15)","Number","64"
"Active Enterprises","2019","Under 10","Wood and Wood Products, except Furniture (C16)","Number","1031"
"Active Enterprises","2019","Under 10","Coke and Refined Petroleum Products (C19)","Number","18"
"Active Enterprises","2019","Under 10","Manufacture of Chemicals and Chemical Products (C20)","Number","268"
"Active Enterprises","2019","Under 10","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations (C21)","Number","144"
"Active Enterprises","2019","Under 10","Manufacture of Rubber and Plastic Products (C22)","Number","321"
"Active Enterprises","2019","Under 10","Manufacture of Other Non-Metallic Mineral Products (C23)","Number","924"
"Active Enterprises","2019","Under 10","Manufacture of Computer, Electronic and Optical Products (C26)","Number","312"
"Active Enterprises","2019","Under 10","Manufacture of Electrical Equipment (C27)","Number","209"
"Active Enterprises","2019","Under 10","Manufacture of Machinery and Equipment n.e.c. (C28)","Number","444"
"Active Enterprises","2019","Under 10","Repair and Installation of Machinery and Equipment (C33)","Number","1534"
"Active Enterprises","2019","Under 10","WholeSale and Retail Trade and Repair of Motor Vehicles and Motorcycles (G45)","Number","8647"
"Active Enterprises","2019","Under 10","WholeSale Trade, except of Motor Vehicles and Motorcycles (G46)","Number","11450"
"Active Enterprises","2019","Under 10","Retail Trade, except of Motor Vehicles and Motorcycles (G47)","Number","20031"
"Active Enterprises","2019","Under 10","Land Transport and Transport Via Pipelines (H49)","Number","19100"
"Active Enterprises","2019","Under 10","Water Transport (H50)","Number","204"
"Active Enterprises","2019","Under 10","Air Transport (H51)","Number","73"
"Active Enterprises","2019","Under 10","Warehousing and Support Activities for Transportation (H52)","Number","1663"
"Active Enterprises","2019","Under 10","Postal and Courier Activities (H53)","Number","2603"
"Active Enterprises","2019","Under 10","Accommodation (I55)","Number","2946"
"Active Enterprises","2019","Under 10","Food and Beverage Service Activities (I56)","Number","11959"
"Active Enterprises","2019","Under 10","ICT Total (C261 TO C264,C268,G465,J582,J61,J62,J631,S951)","Number","12400"
"Active Enterprises","2019","Under 10","Publishing Activities (J58)","Number","1425"
"Active Enterprises","2019","Under 10","Picture, Video and Television Programmes, Sound Recording and Music Publishing Activities (J59)","Number","2647"
"Active Enterprises","2019","Under 10","Programming and Broadcasting Activities (J60)","Number","231"
"Active Enterprises","2019","Under 10","Telecommunications (J61)","Number","555"
"Active Enterprises","2019","Under 10","Computer Programming, Consultancy and Related Activities (J62)","Number","9699"
"Active Enterprises","2019","Under 10","Information Service Activities (J63)","Number","585"
"Active Enterprises","2019","Under 10","Financial Service Activities, except Insurance and Pension Funding (K64)","Number","9282"
"Active Enterprises","2019","Under 10","Insurance, Reinsurance and Pension Funding, except Compulsory Social Security (K65)","Number","384"
"Active Enterprises","2019","Under 10","Activities Auxiliary to Financial Services and Insurance Activities (K66)","Number","2889"
"Active Enterprises","2019","Under 10","Real Estate Activities (L68)","Number","15458"
"Active Enterprises","2019","Under 10","Legal and Accounting Activities (M69)","Number","11159"
"Active Enterprises","2019","Under 10","Activities of Head Offices; Management Consultancy Activities (M70)","Number","11115"
"Active Enterprises","2019","Under 10","Architectural and Engineering Activities; Technical Testing and Analysis (M71)","Number","8672"
"Active Enterprises","2019","Under 10","Scientific Research and Development (M72)","Number","734"
"Active Enterprises","2019","Under 10","Advertising and Market Research (M73)","Number","1687"
"Active Enterprises","2019","Under 10","Other Professional, Scientific and Technical Activities (M74)","Number","8384"
"Active Enterprises","2019","Under 10","Veterinary Activities (M75)","Number","1082"
"Active Enterprises","2019","Under 10","Rental and Leasing Activities (N77)","Number","5205"
"Active Enterprises","2019","Under 10","Employment Activities (N78)","Number","1324"
"Active Enterprises","2019","Under 10","Travel Agency, Tour Operator and Other Reservation Service and Related Activities (N79)","Number","1126"
"Active Enterprises","2019","Under 10","Security and Investigation Activities (N80)","Number","829"
"Active Enterprises","2019","Under 10","Services to Buildings and Landscape Activities (N81)","Number","5823"
"Active Enterprises","2019","Under 10","Office Administrative, Office Support and Other Business Support Activities (N82)","Number","2331"
"Active Enterprises","2019","Under 10","Education (P85)","Number","13828"
"Active Enterprises","2019","Under 10","Human Health Activities (Q86)","Number","14242"
"Active Enterprises","2019","Under 10","Residential Care Activities (Q87)","Number","418"
"Active Enterprises","2019","Under 10","Social Work Activities without Accommodation (Q88)","Number","3424"
"Active Enterprises","2019","Under 10","Creative, Arts and Entertainment Activities (R90)","Number","6929"
"Active Enterprises","2019","Under 10","Libraries, Archives, Museums and Other Cultural Activities (R90)","Number","201"
"Active Enterprises","2019","Under 10","Gambling and Betting Activities (R92)","Number","342"
"Active Enterprises","2019","Under 10","Sports Activities and Amusement and Recreation Activities (R93)","Number","3975"
"Active Enterprises","2019","Under 10","Repair of Computers and Personal and Household Goods (S95)","Number","1644"
"Active Enterprises","2019","Under 10","Other Personal Service Activities (S96)","Number","14023"
"Active Enterprises","2019","Under 10","Retail Sale in Non-Specialised Stores (G471)","Number","3069"
"Active Enterprises","2019","Under 10","Retail Sale of Food, Beverages and Tobacco in Specialised Stores (G472)","Number","2581"
"Active Enterprises","2019","Under 10","Retail Sale of Automotive Fuel in Specialised Stores (G473)","Number","578"
"Active Enterprises","2019","Under 10","Retail Sale of Information and Communication Equipment in Specialised Stores (G474)","Number","824"
"Active Enterprises","2019","Under 10","Retail Sale of Other Household Equipment in Specialised Stores (G475)","Number","2418"
"Active Enterprises","2019","Under 10","Retail Sale of Cultural and Recreation Goods in Specialised Stores (G476)","Number","1221"
"Active Enterprises","2019","Under 10","Retail Sale of Other Goods in Specialised Stores (G477)","Number","7296"
"Active Enterprises","2019","Under 10","Retail Sale via Stalls and Markets (G478)","Number","352"
"Active Enterprises","2019","Under 10","Retail Trade not in Stores, Stalls or Markets (G479)","Number","1692"
"Active Enterprises","2019","Under 10","Computer Programming, Consultancy and Related Activities (J620)","Number","9699"
"Active Enterprises","2019","Under 10","Buying and Selling of Own Real Estate (L681)","Number","407"
"Active Enterprises","2019","Under 10","Renting and Operating of Own or Leased Real Estate (L682)","Number","10384"
