active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
275.0,4.0,8298.0,8287.0,124.0,0.0
132.0,,4028.0,4027.0,,0.0
9083.0,173.0,272073.0,271036.0,5289.0,0.0
24.0,,696.0,696.0,,0.0
,0.0,,,0.0,0.0
74.0,,2354.0,2344.0,,0.0
,0.0,,,0.0,0.0
6.0,0.0,201.0,201.0,0.0,0.0
89.0,,2706.0,2706.0,,0.0
6.0,0.0,,,0.0,0.0
96.0,0.0,2831.0,2831.0,0.0,0.0
259.0,,7804.0,7804.0,,0.0
259.0,,7804.0,7804.0,,0.0
666.0,13.0,19685.0,19665.0,345.0,0.0
29.0,0.0,875.0,875.0,0.0,0.0
325.0,3.0,9464.0,9447.0,117.0,0.0
325.0,3.0,9464.0,9447.0,117.0,0.0
,0.0,,,0.0,0.0
95.0,,2985.0,2980.0,,0.0
143.0,,4333.0,4332.0,,0.0
261.0,8.0,7893.0,7891.0,232.0,0.0
155.0,0.0,4744.0,4743.0,0.0,0.0
1138.0,48.0,33689.0,33565.0,1396.0,0.0
69.0,0.0,2055.0,2054.0,0.0,0.0
23.0,0.0,651.0,647.0,0.0,0.0
114.0,,3314.0,3149.0,,0.0
1000.0,10.0,29905.0,29684.0,327.0,0.0
9.0,0.0,267.0,267.0,0.0,0.0
385.0,4.0,11817.0,11817.0,137.0,0.0
394.0,4.0,12084.0,12084.0,137.0,0.0
16.0,0.0,444.0,,0.0,0.0
456.0,23.0,13872.0,13872.0,,0.0
24.0,0.0,781.0,781.0,0.0,0.0
,0.0,,,0.0,0.0
262.0,,7419.0,7384.0,,0.0
13.0,0.0,349.0,349.0,0.0,0.0
4.0,0.0,122.0,122.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,2761.0,2470.0,0.0,0.0
182.0,,5277.0,4900.0,,0.0
16.0,0.0,465.0,464.0,0.0,0.0
155.0,4.0,4669.0,4668.0,128.0,0.0
8.0,0.0,252.0,252.0,0.0,0.0
29.0,,914.0,914.0,,0.0
18.0,0.0,564.0,564.0,0.0,0.0
14.0,,498.0,498.0,,0.0
53.0,0.0,1726.0,1726.0,0.0,0.0
58.0,,1791.0,1791.0,,0.0
47.0,0.0,1549.0,1549.0,0.0,0.0
734.0,4.0,22698.0,22693.0,122.0,0.0
4.0,0.0,160.0,160.0,0.0,0.0
,0.0,,,0.0,0.0
17.0,,476.0,476.0,,0.0
67.0,4.0,1969.0,1968.0,,0.0
18.0,,558.0,557.0,,0.0
7.0,0.0,,,0.0,0.0
68.0,,,,,0.0
96.0,4.0,2804.0,2787.0,105.0,0.0
59.0,,1646.0,1645.0,,0.0
40.0,,1149.0,1149.0,,0.0
9.0,0.0,277.0,275.0,0.0,0.0
45.0,0.0,1380.0,1380.0,0.0,0.0
,0.0,,,0.0,0.0
59.0,19.0,1857.0,1857.0,649.0,0.0
35.0,,1160.0,1158.0,,0.0
,0.0,,,0.0,0.0
669.0,8.0,19949.0,19536.0,236.0,0.0
27.0,0.0,875.0,,0.0,0.0
71.0,,2225.0,2225.0,,0.0
93.0,0.0,2794.0,2789.0,0.0,0.0
93.0,0.0,2794.0,2789.0,0.0,0.0
,0.0,1787.0,1786.0,0.0,0.0
96.0,0.0,2818.0,2817.0,0.0,0.0
7.0,0.0,195.0,195.0,0.0,0.0
78.0,0.0,2304.0,2303.0,0.0,0.0
7.0,0.0,197.0,197.0,0.0,0.0
32.0,0.0,,,0.0,0.0
34.0,0.0,1079.0,1078.0,0.0,0.0
6.0,0.0,183.0,183.0,0.0,0.0
,0.0,567.0,567.0,0.0,0.0
,0.0,134.0,134.0,0.0,0.0
209.0,,7363.0,7335.0,,0.0
486.0,9.0,14724.0,14658.0,275.0,0.0
169.0,,4913.0,4905.0,,0.0
34.0,0.0,1014.0,1012.0,0.0,0.0
89.0,,2670.0,2659.0,,0.0
,0.0,577.0,577.0,0.0,0.0
264.0,3.0,7479.0,7473.0,104.0,0.0
95.0,0.0,2633.0,2632.0,0.0,0.0
,0.0,127.0,127.0,0.0,0.0
16.0,0.0,518.0,518.0,0.0,0.0
1178.0,,34655.0,34561.0,508.0,0.0
23.0,0.0,701.0,701.0,0.0,0.0
34.0,0.0,988.0,986.0,0.0,0.0
50.0,0.0,1511.0,1509.0,0.0,0.0
7602.0,156.0,227329.0,226319.0,4822.0,0.0
93.0,,2904.0,2894.0,,0.0
677.0,,19228.0,19200.0,,0.0
,0.0,,261.0,0.0,0.0
207.0,4.0,6307.0,6301.0,124.0,0.0
24.0,0.0,778.0,778.0,0.0,0.0
24.0,0.0,667.0,667.0,0.0,0.0
5.0,0.0,,,0.0,0.0
22.0,0.0,,,0.0,0.0
7.0,0.0,191.0,,0.0,0.0
,0.0,280.0,280.0,0.0,0.0
396.0,5.0,11623.0,11586.0,151.0,0.0
38.0,0.0,1180.0,1180.0,0.0,0.0
47.0,0.0,1457.0,1455.0,0.0,0.0
23.0,0.0,666.0,645.0,0.0,0.0
23.0,0.0,666.0,645.0,0.0,0.0
86.0,,2662.0,2662.0,,0.0
53.0,0.0,1569.0,1569.0,0.0,0.0
9.0,0.0,253.0,253.0,0.0,0.0
745.0,,22516.0,22508.0,,0.0
248.0,,7208.0,7203.0,,0.0
2171.0,19.0,64379.0,64272.0,,0.0
38.0,0.0,1172.0,1171.0,0.0,0.0
32.0,0.0,11254.0,11252.0,0.0,0.0
70.0,,35254.0,35252.0,,0.0
8.0,0.0,10108.0,9917.0,0.0,0.0
31.0,0.0,21756.0,21756.0,0.0,0.0
8.0,0.0,6895.0,6895.0,0.0,0.0
49.0,0.0,37971.0,37969.0,0.0,0.0
4.0,0.0,2389.0,2389.0,0.0,0.0
17.0,0.0,13370.0,13370.0,0.0,0.0
115.0,0.0,88472.0,88470.0,0.0,0.0
,0.0,,,0.0,0.0
4.0,0.0,2647.0,2647.0,0.0,0.0
