active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
14496.0,1446.0,41203.0,28681.0,2616.0,0.0
8580.0,748.0,16237.0,10670.0,834.0,0.0
3188.0,312.0,7594.0,6179.0,358.0,0.0
511.0,56.0,2852.0,2604.0,153.0,0.0
1475.0,111.0,9574.0,8912.0,133.0,0.0
1829.0,139.0,2491.0,946.0,161.0,0.0
2771.0,301.0,9048.0,7579.0,2550.0,0.0
2717.0,219.0,18812.0,16470.0,363.0,0.0
277.0,27.0,8419.0,8297.0,118.0,0.0
45161.0,3989.0,170797.0,145827.0,6215.0,0.0
276.0,21.0,4079.0,3937.0,21.0,0.0
1638.0,129.0,13983.0,13633.0,171.0,0.0
15788.0,1239.0,32870.0,23775.0,1448.0,0.0
15788.0,1239.0,32870.0,23775.0,1448.0,0.0
4867.0,273.0,15761.0,14787.0,379.0,0.0
5500.0,429.0,16115.0,14457.0,254.0,0.0
195.0,11.0,2660.0,2592.0,,0.0
4755.0,373.0,11503.0,10162.0,193.0,0.0
357.0,25.0,1158.0,954.0,,0.0
10505.0,913.0,16604.0,8550.0,1028.0,0.0
1643.0,120.0,7676.0,6870.0,,0.0
1670.0,125.0,3373.0,2058.0,187.0,0.0
632.0,82.0,5986.0,5903.0,91.0,0.0
186.0,31.0,707.0,610.0,34.0,0.0
993.0,60.0,49919.0,49683.0,1393.0,0.0
4387.0,293.0,95504.0,93200.0,1322.0,0.0
993.0,35.0,18400.0,17991.0,220.0,0.0
1357.0,65.0,8439.0,7716.0,89.0,0.0
2870.0,145.0,13434.0,11455.0,338.0,0.0
894.0,56.0,4583.0,4265.0,61.0,0.0
8516.0,475.0,71647.0,67801.0,980.0,0.0
2755.0,121.0,21629.0,20437.0,198.0,0.0
365.0,35.0,750.0,432.0,49.0,0.0
1737.0,185.0,3752.0,2687.0,168.0,0.0
23874.0,1410.0,238138.0,225984.0,3425.0,0.0
818.0,113.0,6693.0,6513.0,125.0,0.0
609.0,30.0,8154.0,7942.0,107.0,0.0
999.0,67.0,16864.0,16465.0,235.0,0.0
264440.0,20381.0,1847002.0,1697133.0,43970.0,0.0
6127.0,446.0,41341.0,36468.0,832.0,0.0
5136.0,231.0,95060.0,92895.0,587.0,0.0
2955.0,260.0,4886.0,2781.0,279.0,0.0
4591.0,383.0,26164.0,23843.0,,0.0
402.0,26.0,4359.0,4228.0,29.0,0.0
652.0,48.0,13752.0,13635.0,46.0,0.0
111.0,11.0,5424.0,5386.0,14.0,0.0
797.0,51.0,3165.0,2690.0,80.0,0.0
608.0,37.0,1266.0,764.0,36.0,0.0
237.0,20.0,4183.0,4090.0,27.0,0.0
24851.0,1269.0,108567.0,88515.0,1814.0,0.0
744.0,49.0,4240.0,3974.0,46.0,0.0
1255.0,105.0,7092.0,6578.0,199.0,0.0
1194.0,80.0,4455.0,3401.0,179.0,0.0
1194.0,80.0,4455.0,3401.0,179.0,0.0
1906.0,135.0,19143.0,18715.0,218.0,0.0
1024.0,57.0,10924.0,10676.0,113.0,0.0
224.0,19.0,766.0,701.0,23.0,0.0
13526.0,785.0,113689.0,109779.0,1022.0,0.0
9386.0,628.0,38719.0,32849.0,1012.0,0.0
46786.0,2823.0,390546.0,368612.0,5459.0,0.0
1149.0,145.0,6153.0,5458.0,226.0,0.0
2946.0,211.0,4786.0,2381.0,327.0,0.0
14905.0,,44814.0,34631.0,,0.0
6565.0,431.0,11512.0,6979.0,577.0,0.0
2889.0,194.0,4982.0,4039.0,,0.0
46.0,,98.0,89.0,,0.0
1032.0,136.0,1717.0,1513.0,170.0,0.0
434.0,30.0,333.0,326.0,21.0,0.0
11115.0,,14277.0,10953.0,,0.0
16638.0,1493.0,23655.0,14798.0,1591.0,0.0
1477.0,181.0,,,188.0,0.0
1687.0,198.0,2243.0,1512.0,207.0,0.0
73.0,10.0,121.0,112.0,8.0,0.0
8332.0,735.0,12938.0,9961.0,795.0,0.0
8672.0,761.0,13572.0,10464.0,824.0,0.0
11447.0,909.0,16145.0,7309.0,1071.0,0.0
3105.0,,5514.0,3645.0,,0.0
313239.0,26267.0,534292.0,342649.0,35690.0,0.0
1042.0,171.0,1508.0,988.0,178.0,0.0
407.0,,243.0,179.0,,0.0
2141.0,196.0,3462.0,1651.0,,0.0
18.0,,14.0,10.0,,0.0
267.0,29.0,355.0,264.0,41.0,0.0
4631.0,,6836.0,5946.0,,0.0
49.0,7.0,97.0,91.0,6.0,0.0
2968.0,,3994.0,3192.0,,0.0
9699.0,1177.0,13798.0,11546.0,1314.0,0.0
9699.0,1177.0,13798.0,11546.0,1314.0,0.0
56935.0,5094.0,90656.0,51501.0,6855.0,0.0
6929.0,,7563.0,1290.0,,0.0
13828.0,883.0,25924.0,17315.0,1153.0,0.0
13828.0,883.0,25924.0,17315.0,1153.0,0.0
641.0,,395.0,355.0,,0.0
1324.0,163.0,2153.0,1846.0,203.0,0.0
9282.0,903.0,7206.0,5942.0,647.0,0.0
12555.0,1125.0,12845.0,10545.0,,0.0
1467.0,140.0,2814.0,2201.0,195.0,0.0
11959.0,1489.0,40028.0,32250.0,,0.0
2016.0,172.0,3820.0,2635.0,217.0,0.0
342.0,,710.0,507.0,22.0,0.0
14242.0,982.0,25647.0,13596.0,1377.0,0.0
18084.0,1246.0,35728.0,21539.0,1801.0,0.0
204.0,,262.0,207.0,,0.0
12196.0,,17811.0,14901.0,,0.0
12400.0,1454.0,18073.0,15108.0,1625.0,0.0
585.0,,,601.0,,0.0
15142.0,1724.0,20779.0,16247.0,1851.0,0.0
384.0,28.0,657.0,564.0,,0.0
106.0,10.0,135.0,70.0,10.0,0.0
19100.0,880.0,25814.0,8730.0,1051.0,0.0
3415.0,,5327.0,2396.0,,0.0
181.0,20.0,184.0,139.0,24.0,0.0
64.0,,88.0,57.0,,0.0
4594.0,186.0,10075.0,5358.0,,0.0
11159.0,617.0,21587.0,12337.0,,0.0
201.0,15.0,410.0,324.0,14.0,0.0
10681.0,1407.0,13944.0,10627.0,,0.0
144.0,15.0,174.0,166.0,,0.0
268.0,31.0,442.0,340.0,,0.0
312.0,,466.0,387.0,,0.0
209.0,19.0,377.0,331.0,,0.0
444.0,,915.0,810.0,,0.0
924.0,,1897.0,1345.0,123.0,0.0
321.0,21.0,772.0,674.0,23.0,0.0
14095.0,1221.0,25788.0,18375.0,1606.0,0.0
210.0,17.0,,,19.0,0.0
384.0,27.0,710.0,615.0,21.0,0.0
659.0,,916.0,502.0,80.0,0.0
2331.0,297.0,3349.0,2179.0,,0.0
584.0,,827.0,600.0,,0.0
199.0,16.0,330.0,265.0,19.0,0.0
2051.0,252.0,2871.0,2317.0,272.0,0.0
14023.0,1432.0,27308.0,14915.0,2360.0,0.0
8384.0,744.0,10661.0,5100.0,768.0,0.0
3069.0,,4084.0,2672.0,,0.0
475.0,,611.0,366.0,,0.0
1314.0,111.0,2424.0,1762.0,133.0,0.0
1818.0,,2146.0,601.0,,0.0
2647.0,265.0,2967.0,1499.0,273.0,0.0
2603.0,215.0,4245.0,1930.0,280.0,0.0
216.0,,457.0,337.0,,0.0
42833.0,,65733.0,42618.0,,0.0
231.0,21.0,,136.0,21.0,0.0
1425.0,,2105.0,1755.0,,0.0
15458.0,,17165.0,8136.0,,0.0
15458.0,1232.0,17165.0,8136.0,,0.0
4667.0,269.0,5397.0,4432.0,214.0,0.0
5205.0,,5547.0,3900.0,,0.0
168.0,11.0,262.0,196.0,,0.0
4522.0,,4533.0,3200.0,,0.0
334.0,25.0,568.0,365.0,,0.0
10384.0,,11525.0,3525.0,,0.0
1534.0,,2698.0,1895.0,,0.0
1644.0,125.0,2556.0,1246.0,187.0,0.0
562.0,,763.0,680.0,,0.0
172.0,31.0,204.0,108.0,34.0,0.0
418.0,50.0,777.0,593.0,76.0,0.0
3069.0,252.0,8351.0,6259.0,519.0,0.0
578.0,28.0,1648.0,1289.0,,0.0
1221.0,,2783.0,2078.0,,0.0
2581.0,140.0,6004.0,4087.0,237.0,0.0
824.0,56.0,1702.0,1388.0,61.0,0.0
7296.0,,19296.0,15499.0,,0.0
2418.0,118.0,6156.0,4976.0,157.0,0.0
352.0,35.0,480.0,166.0,49.0,0.0
1692.0,185.0,2182.0,1120.0,168.0,0.0
20031.0,1344.0,48602.0,36862.0,,0.0
734.0,,967.0,788.0,,0.0
507.0,,1127.0,921.0,,0.0
829.0,,1719.0,1328.0,,0.0
240328.0,19813.0,415113.0,270417.0,,0.0
5823.0,,9144.0,4311.0,611.0,0.0
3424.0,,9304.0,7350.0,348.0,0.0
2904.0,260.0,3774.0,1671.0,279.0,0.0
3975.0,371.0,7462.0,5188.0,,0.0
340.0,26.0,634.0,503.0,29.0,0.0
555.0,48.0,827.0,710.0,46.0,0.0
93.0,11.0,106.0,68.0,14.0,0.0
728.0,,1214.0,740.0,,0.0
593.0,37.0,657.0,156.0,36.0,0.0
196.0,20.0,298.0,208.0,27.0,0.0
23643.0,,32747.0,12848.0,,0.0
651.0,49.0,1132.0,868.0,46.0,0.0
1126.0,,1743.0,1234.0,,0.0
1082.0,75.0,2426.0,1464.0,117.0,0.0
1082.0,75.0,2426.0,1464.0,117.0,0.0
1663.0,131.0,2276.0,1850.0,,0.0
856.0,,1630.0,1386.0,,0.0
204.0,19.0,291.0,226.0,23.0,0.0
11450.0,778.0,23649.0,19780.0,,0.0
8647.0,623.0,17463.0,11628.0,,0.0
40128.0,,89714.0,68270.0,3922.0,0.0
1031.0,,1861.0,1169.0,,0.0
204.0,6.0,2934.0,2904.0,81.0,81.0
2048.0,88.0,27332.0,26836.0,1128.0,1110.0
216.0,,2775.0,2665.0,,
151.0,,1976.0,1973.0,,
7.0,0.0,109.0,109.0,0.0,0.0
76.0,3.0,1089.0,1086.0,45.0,45.0
19.0,,256.0,255.0,,
231.0,,3071.0,3060.0,100.0,
573.0,17.0,7796.0,7758.0,233.0,233.0
51.0,0.0,670.0,668.0,0.0,0.0
61.0,0.0,807.0,805.0,0.0,0.0
4.0,0.0,,,0.0,0.0
286.0,,3874.0,3862.0,,72.0
311.0,,4200.0,4188.0,,72.0
373.0,,4997.0,4959.0,,
169.0,,2276.0,2274.0,,
13638.0,264.0,183019.0,180174.0,3452.0,3415.0
29.0,3.0,402.0,398.0,41.0,41.0
3.0,0.0,41.0,41.0,0.0,0.0
85.0,,,,,96.0
,0.0,,,0.0,0.0
12.0,0.0,166.0,166.0,0.0,0.0
115.0,0.0,1554.0,1554.0,0.0,0.0
4.0,0.0,52.0,52.0,0.0,0.0
104.0,,1435.0,1435.0,,
286.0,,3889.0,3887.0,71.0,71.0
286.0,,3889.0,3887.0,71.0,71.0
1265.0,31.0,16823.0,16739.0,417.0,416.0
37.0,0.0,,,0.0,0.0
684.0,,9115.0,8984.0,42.0,42.0
684.0,,9115.0,8984.0,42.0,42.0
11.0,0.0,,,0.0,0.0
87.0,,1233.0,1230.0,,
198.0,4.0,2640.0,2638.0,53.0,53.0
387.0,,5181.0,5176.0,,
137.0,0.0,1870.0,1863.0,0.0,0.0
1844.0,82.0,24398.0,23932.0,1047.0,1029.0
96.0,0.0,1296.0,1293.0,0.0,0.0
30.0,,,,,
449.0,,5651.0,4890.0,,
1283.0,16.0,17520.0,16597.0,206.0,193.0
8.0,0.0,116.0,116.0,0.0,0.0
442.0,7.0,5956.0,5954.0,99.0,99.0
450.0,7.0,6072.0,6070.0,99.0,99.0
26.0,,364.0,,,
488.0,14.0,6664.0,6660.0,189.0,189.0
38.0,,565.0,565.0,,
,0.0,,,0.0,0.0
419.0,,5630.0,5564.0,,57.0
43.0,0.0,,,0.0,0.0
5.0,0.0,,67.0,0.0,0.0
,0.0,,,0.0,0.0
205.0,,2680.0,2280.0,,
421.0,,5455.0,4945.0,,
20.0,0.0,281.0,281.0,0.0,0.0
212.0,6.0,2815.0,2805.0,,87.0
8.0,0.0,114.0,114.0,0.0,0.0
14.0,0.0,211.0,211.0,0.0,0.0
20.0,0.0,264.0,264.0,0.0,0.0
23.0,,304.0,304.0,,
54.0,0.0,710.0,710.0,0.0,0.0
63.0,,848.0,847.0,,
41.0,0.0,,,0.0,0.0
841.0,,11296.0,11275.0,,
10.0,0.0,137.0,137.0,0.0,0.0
28.0,,,,,
23.0,0.0,314.0,314.0,0.0,0.0
74.0,,1006.0,1001.0,,
15.0,,181.0,180.0,,
,,,,,
63.0,3.0,848.0,846.0,,
257.0,,3258.0,3179.0,,
105.0,0.0,1433.0,1427.0,0.0,0.0
63.0,0.0,877.0,874.0,0.0,0.0
16.0,,,,,
66.0,0.0,846.0,846.0,0.0,0.0
,0.0,,,0.0,0.0
50.0,7.0,675.0,,,
50.0,,,,,
,,,,,
1258.0,19.0,16603.0,16003.0,242.0,239.0
10.0,0.0,143.0,,0.0,0.0
79.0,0.0,1099.0,1099.0,0.0,0.0
169.0,,2228.0,2197.0,,
169.0,,2228.0,2197.0,,
109.0,,1418.0,1413.0,,
155.0,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
130.0,0.0,,,0.0,0.0
,0.0,,153.0,0.0,0.0
57.0,,769.0,743.0,,
44.0,,,,,
11.0,0.0,145.0,142.0,0.0,0.0
29.0,,,,,
7.0,0.0,,,0.0,0.0
72.0,,1030.0,1025.0,,
587.0,15.0,8105.0,7979.0,204.0,204.0
209.0,,2955.0,2933.0,,
60.0,0.0,805.0,798.0,0.0,0.0
168.0,,2225.0,2185.0,80.0,79.0
34.0,,,,,
755.0,6.0,9900.0,9849.0,77.0,77.0
170.0,,2207.0,2199.0,,
,0.0,,,0.0,0.0
,0.0,254.0,253.0,0.0,0.0
2012.0,37.0,27015.0,26755.0,478.0,477.0
36.0,,450.0,449.0,,
44.0,0.0,598.0,596.0,0.0,0.0
61.0,,832.0,829.0,,
11422.0,224.0,153399.0,150662.0,2926.0,2890.0
140.0,,1878.0,1856.0,,96.0
762.0,,10839.0,10682.0,,
31.0,0.0,399.0,397.0,0.0,0.0
286.0,,,,36.0,36.0
25.0,0.0,326.0,326.0,0.0,0.0
37.0,,494.0,494.0,,
,0.0,,,0.0,0.0
35.0,0.0,468.0,468.0,0.0,0.0
,0.0,,,0.0,0.0
18.0,0.0,249.0,246.0,0.0,0.0
572.0,8.0,7790.0,7709.0,113.0,112.0
40.0,0.0,553.0,553.0,0.0,0.0
56.0,,,,,
93.0,3.0,1187.0,1129.0,40.0,40.0
93.0,3.0,1187.0,1129.0,40.0,40.0
90.0,,1246.0,1243.0,,
71.0,,,,,
9.0,0.0,,,0.0,0.0
933.0,,12659.0,12637.0,,
374.0,,5096.0,5070.0,,
3319.0,44.0,44770.0,44462.0,581.0,580.0
48.0,,626.0,625.0,,
287.0,,9215.0,9192.0,,188.0
1010.0,17.0,29727.0,29619.0,430.0,426.0
71.0,0.0,2039.0,1987.0,0.0,0.0
97.0,0.0,2907.0,2906.0,0.0,0.0
7.0,0.0,237.0,237.0,0.0,0.0
77.0,3.0,2399.0,2398.0,91.0,91.0
15.0,0.0,410.0,410.0,0.0,0.0
146.0,3.0,4361.0,4359.0,,
416.0,,12802.0,12784.0,247.0,247.0
40.0,0.0,,,0.0,0.0
47.0,,1506.0,1506.0,,
,0.0,,111.0,0.0,0.0
136.0,,4108.0,4099.0,,
159.0,,4822.0,4813.0,,
189.0,0.0,5556.0,5547.0,0.0,0.0
115.0,0.0,3495.0,3493.0,0.0,0.0
7981.0,88.0,237957.0,237074.0,2601.0,2597.0
22.0,,690.0,690.0,,
4.0,0.0,121.0,121.0,0.0,0.0
69.0,,2182.0,2172.0,,
,0.0,,,0.0,0.0
,0.0,187.0,187.0,0.0,0.0
77.0,3.0,2283.0,2283.0,,
6.0,0.0,,,0.0,0.0
94.0,0.0,2780.0,2780.0,0.0,0.0
247.0,,7378.0,7378.0,121.0,121.0
247.0,,7378.0,7378.0,121.0,121.0
626.0,,18787.0,18771.0,277.0,277.0
22.0,0.0,692.0,692.0,0.0,0.0
284.0,0.0,8108.0,8084.0,0.0,0.0
284.0,0.0,8108.0,8084.0,0.0,0.0
,0.0,,,0.0,0.0
90.0,3.0,2823.0,2821.0,91.0,91.0
136.0,,4180.0,4176.0,82.0,82.0
255.0,,7769.0,7764.0,82.0,82.0
133.0,,4077.0,4076.0,,
723.0,,20512.0,20427.0,,238.0
63.0,0.0,1906.0,1906.0,0.0,0.0
13.0,0.0,363.0,363.0,0.0,0.0
106.0,,3188.0,3020.0,,
947.0,5.0,28425.0,28199.0,164.0,164.0
8.0,0.0,240.0,240.0,0.0,0.0
375.0,4.0,11359.0,11358.0,121.0,121.0
383.0,4.0,11599.0,11598.0,121.0,121.0
14.0,0.0,432.0,432.0,0.0,0.0
418.0,15.0,12469.0,12469.0,460.0,460.0
22.0,0.0,682.0,682.0,0.0,0.0
,0.0,,,0.0,0.0
228.0,,6431.0,6402.0,,
,0.0,352.0,352.0,0.0,0.0
5.0,0.0,144.0,,0.0,0.0
,0.0,,,0.0,0.0
86.0,0.0,2447.0,2193.0,0.0,0.0
157.0,0.0,4486.0,4180.0,0.0,0.0
13.0,0.0,358.0,357.0,0.0,0.0
131.0,3.0,3951.0,3949.0,,
8.0,0.0,292.0,292.0,0.0,0.0
32.0,,1073.0,1073.0,,
17.0,0.0,507.0,507.0,0.0,0.0
13.0,0.0,435.0,435.0,0.0,0.0
59.0,0.0,1960.0,1960.0,0.0,0.0
52.0,0.0,1604.0,1604.0,0.0,0.0
,0.0,1556.0,1556.0,0.0,0.0
680.0,,21117.0,21112.0,,
7.0,,,,,
,0.0,,,0.0,0.0
16.0,0.0,532.0,532.0,0.0,0.0
55.0,,1748.0,1748.0,,
10.0,0.0,289.0,289.0,0.0,0.0
8.0,0.0,,,0.0,0.0
70.0,,,,,
79.0,,2170.0,2162.0,,
51.0,0.0,1528.0,1528.0,0.0,0.0
35.0,0.0,1096.0,1096.0,0.0,0.0
6.0,0.0,183.0,182.0,0.0,0.0
43.0,0.0,1296.0,1296.0,0.0,0.0
,0.0,,,0.0,0.0
37.0,,,1116.0,339.0,339.0
35.0,,1193.0,1189.0,,
,0.0,,,0.0,0.0
608.0,,18183.0,17855.0,195.0,195.0
27.0,0.0,,867.0,0.0,0.0
63.0,0.0,1841.0,1841.0,0.0,0.0
73.0,0.0,2286.0,2281.0,0.0,0.0
73.0,0.0,2286.0,2281.0,0.0,0.0
47.0,0.0,1470.0,1468.0,0.0,0.0
96.0,,2797.0,2796.0,,
9.0,0.0,237.0,237.0,0.0,0.0
77.0,,2284.0,2283.0,,
5.0,0.0,132.0,,0.0,0.0
22.0,0.0,695.0,692.0,0.0,0.0
29.0,0.0,889.0,889.0,0.0,0.0
5.0,0.0,147.0,147.0,0.0,0.0
,0.0,675.0,675.0,0.0,0.0
,0.0,180.0,180.0,0.0,0.0
208.0,,7104.0,7074.0,,
443.0,,13131.0,13086.0,226.0,226.0
146.0,,4250.0,4236.0,,
24.0,0.0,,,0.0,0.0
72.0,,,,,
,0.0,,,0.0,0.0
221.0,3.0,6256.0,6255.0,83.0,83.0
92.0,0.0,2614.0,2612.0,0.0,0.0
,0.0,,,0.0,0.0
14.0,0.0,461.0,461.0,0.0,0.0
1030.0,15.0,29979.0,29904.0,410.0,410.0
27.0,0.0,855.0,855.0,0.0,0.0
36.0,,1070.0,1066.0,,
56.0,,1696.0,1692.0,,
6601.0,77.0,195873.0,195013.0,,
88.0,,2721.0,2711.0,,
633.0,,18133.0,18105.0,,
10.0,0.0,265.0,265.0,0.0,0.0
141.0,0.0,4143.0,4135.0,0.0,0.0
23.0,0.0,714.0,714.0,0.0,0.0
30.0,0.0,835.0,835.0,0.0,0.0
5.0,0.0,,,0.0,0.0
17.0,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
8.0,0.0,200.0,200.0,0.0,0.0
360.0,4.0,10534.0,10501.0,114.0,114.0
25.0,0.0,834.0,834.0,0.0,0.0
31.0,0.0,1017.0,1016.0,0.0,0.0
21.0,0.0,625.0,614.0,0.0,0.0
21.0,0.0,625.0,614.0,0.0,0.0
84.0,,2551.0,2551.0,,
49.0,0.0,1471.0,1471.0,0.0,0.0
,0.0,,248.0,0.0,0.0
703.0,3.0,21226.0,21212.0,94.0,
224.0,,6492.0,6485.0,,
1957.0,,57697.0,57601.0,,542.0
41.0,0.0,1210.0,1208.0,0.0,0.0
8.0,0.0,3363.0,3363.0,0.0,0.0
34.0,0.0,17616.0,17616.0,0.0,0.0
11.0,0.0,11271.0,11234.0,0.0,0.0
31.0,0.0,21421.0,21421.0,0.0,0.0
7.0,0.0,6009.0,6009.0,0.0,0.0
42.0,0.0,29995.0,29993.0,0.0,0.0
4.0,0.0,2120.0,2120.0,0.0,0.0
17.0,0.0,15819.0,15819.0,0.0,0.0
98.0,0.0,75227.0,75224.0,0.0,0.0
,0.0,,,0.0,0.0
4.0,0.0,3199.0,3199.0,0.0,0.0
4.0,0.0,,,0.0,0.0
11.0,0.0,4562.0,4562.0,0.0,0.0
16.0,0.0,6777.0,6777.0,0.0,0.0
8.0,,8013.0,8013.0,,
5.0,0.0,1926.0,1926.0,0.0,0.0
841.0,4.0,817180.0,817017.0,5981.0,5981.0
5.0,0.0,2213.0,2213.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
13.0,0.0,11704.0,11704.0,0.0,0.0
,0.0,,,0.0,0.0
15.0,0.0,12168.0,12168.0,0.0,0.0
34.0,0.0,28566.0,28566.0,0.0,0.0
34.0,0.0,28566.0,28566.0,0.0,0.0
24.0,0.0,13223.0,13223.0,0.0,0.0
,0.0,,,0.0,0.0
44.0,,131245.0,131245.0,,
44.0,,131245.0,131245.0,,
,0.0,9986.0,9986.0,0.0,0.0
50.0,0.0,35958.0,35956.0,0.0,0.0
25.0,,38218.0,38218.0,,
70.0,,71386.0,71386.0,,
57.0,0.0,30714.0,30714.0,0.0,0.0
26.0,0.0,14253.0,14253.0,0.0,0.0
29.0,0.0,29056.0,29056.0,0.0,0.0
,,,,,
43.0,0.0,61260.0,61259.0,0.0,0.0
113.0,0.0,109321.0,109316.0,0.0,0.0
7.0,0.0,14908.0,14908.0,0.0,0.0
62.0,0.0,55823.0,55823.0,0.0,0.0
69.0,0.0,70731.0,70731.0,0.0,0.0
,0.0,8195.0,8195.0,0.0,0.0
59.0,0.0,54095.0,54095.0,0.0,0.0
14.0,0.0,11747.0,11747.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,11801.0,11801.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,3298.0,3182.0,0.0,0.0
18.0,0.0,14569.0,14416.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,13699.0,13699.0,0.0,0.0
26.0,0.0,18687.0,18687.0,0.0,0.0
12.0,0.0,6854.0,6854.0,0.0,0.0
12.0,0.0,17201.0,17201.0,0.0,0.0
5.0,0.0,2498.0,2498.0,0.0,0.0
8.0,0.0,3735.0,3735.0,0.0,0.0
4.0,0.0,1931.0,1931.0,0.0,0.0
,0.0,,,0.0,0.0
170.0,0.0,118448.0,118448.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
3.0,0.0,1040.0,1040.0,0.0,0.0
15.0,0.0,9262.0,9262.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
4.0,0.0,3575.0,3575.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
3.0,0.0,1444.0,1444.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,,,0.0,0.0
4.0,0.0,,,0.0,0.0
5.0,0.0,3510.0,3510.0,0.0,0.0
61.0,0.0,43139.0,42986.0,0.0,0.0
,0.0,,,0.0,0.0
7.0,0.0,4865.0,4865.0,0.0,0.0
9.0,0.0,5868.0,5866.0,0.0,0.0
9.0,0.0,5868.0,5866.0,0.0,0.0
6.0,0.0,4154.0,4154.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1714.0,1712.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,2775.0,2775.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,19805.0,19805.0,0.0,0.0
22.0,0.0,49114.0,49114.0,0.0,0.0
5.0,0.0,5817.0,5817.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
22.0,0.0,20323.0,20323.0,0.0,0.0
12.0,0.0,7162.0,7162.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,85091.0,85091.0,0.0,0.0
6.0,0.0,2775.0,2775.0,0.0,0.0
5.0,0.0,3471.0,3471.0,0.0,0.0
10.0,0.0,6981.0,6981.0,0.0,0.0
634.0,4.0,671817.0,671654.0,5981.0,5981.0
18.0,0.0,20827.0,20826.0,0.0,0.0
35.0,0.0,28256.0,28252.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
5.0,0.0,2215.0,2215.0,0.0,0.0
7.0,0.0,9034.0,9034.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1949.0,1949.0,0.0,0.0
24.0,0.0,38627.0,38627.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,6763.0,6763.0,0.0,0.0
5.0,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,26572.0,26572.0,0.0,0.0
6.0,0.0,2042.0,2042.0,0.0,0.0
110.0,0.0,113705.0,113705.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
290.0,,25560.0,25541.0,,
430.0,5.0,37700.0,37679.0,427.0,427.0
32.0,0.0,2994.0,2983.0,0.0,0.0
71.0,0.0,7668.0,7660.0,0.0,0.0
14.0,0.0,1650.0,1650.0,0.0,0.0
84.0,,9276.0,9276.0,,
11.0,0.0,1244.0,1244.0,0.0,0.0
84.0,,8156.0,8155.0,,
286.0,,29680.0,29677.0,337.0,337.0
,0.0,1721.0,1721.0,0.0,0.0
26.0,0.0,2535.0,2535.0,0.0,0.0
,0.0,,,0.0,0.0
69.0,,7005.0,7005.0,,
80.0,,8150.0,8150.0,,
62.0,0.0,6047.0,6045.0,0.0,0.0
76.0,0.0,7678.0,7675.0,0.0,0.0
3958.0,42.0,382179.0,381937.0,3248.0,3248.0
23.0,0.0,2477.0,2477.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,,3406.0,3404.0,,
,0.0,,,0.0,0.0
7.0,0.0,,,0.0,0.0
71.0,0.0,7497.0,7497.0,0.0,0.0
,0.0,708.0,708.0,0.0,0.0
74.0,0.0,6724.0,6724.0,0.0,0.0
184.0,3.0,18637.0,18637.0,218.0,218.0
184.0,3.0,18637.0,18637.0,218.0,218.0
196.0,,16718.0,16716.0,311.0,311.0
,0.0,329.0,329.0,0.0,0.0
90.0,0.0,7958.0,7953.0,0.0,0.0
90.0,0.0,7958.0,7953.0,0.0,0.0
