"Statistic Label","Year","Employment Size","Activity","UNIT","VALUE"
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Warehousing and Support Activities for Transportation (H52)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Postal and Courier Activities (H53)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Accommodation (I55)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Food and Beverage Service Activities (I56)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","ICT Total (C261 TO C264,C268,G465,J582,J61,J62,J631,S951)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Publishing Activities (J58)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Picture, Video and Television Programmes, Sound Recording and Music Publishing Activities (J59)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Programming and Broadcasting Activities (J60)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Telecommunications (J61)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Computer Programming, Consultancy and Related Activities (J62)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Information Service Activities (J63)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Financial Service Activities, except Insurance and Pension Funding (K64)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Insurance, Reinsurance and Pension Funding, except Compulsory Social Security (K65)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Activities Auxiliary to Financial Services and Insurance Activities (K66)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Real Estate Activities (L68)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Legal and Accounting Activities (M69)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Activities of Head Offices; Management Consultancy Activities (M70)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Architectural and Engineering Activities; Technical Testing and Analysis (M71)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Scientific Research and Development (M72)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Advertising and Market Research (M73)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Professional, Scientific and Technical Activities (M74)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Veterinary Activities (M75)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Rental and Leasing Activities (N77)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Employment Activities (N78)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Travel Agency, Tour Operator and Other Reservation Service and Related Activities (N79)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Security and Investigation Activities (N80)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Services to Buildings and Landscape Activities (N81)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Office Administrative, Office Support and Other Business Support Activities (N82)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Education (P85)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Human Health Activities (Q86)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Residential Care Activities (Q87)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Social Work Activities without Accommodation (Q88)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Creative, Arts and Entertainment Activities (R90)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Libraries, Archives, Museums and Other Cultural Activities (R90)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Gambling and Betting Activities (R92)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Sports Activities and Amusement and Recreation Activities (R93)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Repair of Computers and Personal and Household Goods (S95)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Personal Service Activities (S96)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale in Non-Specialised Stores (G471)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Food, Beverages and Tobacco in Specialised Stores (G472)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Automotive Fuel in Specialised Stores (G473)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Information and Communication Equipment in Specialised Stores (G474)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Other Household Equipment in Specialised Stores (G475)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Cultural and Recreation Goods in Specialised Stores (G476)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale of Other Goods in Specialised Stores (G477)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Sale via Stalls and Markets (G478)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Trade not in Stores, Stalls or Markets (G479)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Computer Programming, Consultancy and Related Activities (J620)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Buying and Selling of Own Real Estate (L681)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Renting and Operating of Own or Leased Real Estate (L682)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Real Estate Activities on a Fee or Contract Basis (L683)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Legal Activities (M691)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Accounting, Bookkeeping and Auditing Activities; Tax Consultancy (M692)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Activities of Head Offices (M701)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Management Consultancy Activities (M702)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Architectural and Engineering Activities and Related Technical Consultancy (M711)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Technical Testing and Analysis (M712)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Research and Experimental Development on Natural Sciences and Engineering (M721)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Research and Experimental Development on Social Sciences and Humanities (722)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Advertising (M731)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Market Research and Public Opinion Polling (M732)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Specialised Design Activities (M741)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Photographic Activities (M742)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Translation and Interpretation Activities (M743)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Professional, Scientific and Technical Activities n.e.c. (M749)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Veterinary Activities (M750)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Renting and Leasing of Motor Vehicles (N771)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Renting and Leasing of Personal and Household Goods (N772)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Renting and Leasing of Other Machinery, Equipment and Tangible goods (N773)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Leasing of Intellectual Property and Similar Products, except Copyrighted Works (N774)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Activities of Employment Placement Agencies (N781)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Temporary Employment Agency Activities (N782)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Human Resources Provision (N783)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Travel Agency and Tour Operator Activities (N791)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Reservation Service and Related Activities (N799)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Private Security Activities (N801)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Security Systems Service Activities (N802)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Investigation Activities (N803)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Combined Facilities support Activities (N811)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Cleaning Activities (N812)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Landscape Service Activities (N813)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Office Administrative and Support Activities (N821)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Activities of Call Centres (N822)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Organisation of Conventions and Trade Shows (N823)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Business Support Service Activities n.e.c. (N829)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","ICT Manufacturing (C261 TO C264,C268)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Computer Programming Activities (J6201)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Computer Consultancy Activities (J6202)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Computer Facilities Management Activities (J6203)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Other Information Technology and Computer Service Activities (J6209)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Food Products, Beverages and Tobacco (C10 to C12)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Textiles and Wearing Apparel (C13,C14)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Paper and Paper Products; Printing and Reproduction of Recorded Media (C17,C18)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Basic Metals and Fabricated Metal Products (C24,C25)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Transport Equipment (C29,C30)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Furniture and Other Manufacturing (C31,C32)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","ICT Services (G465,J582,J61,J62,J631,S951)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Business Economy excluding Sector O and Activities of Membership Organisations (B to S-O-S94)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Service Economy excluding Sector O and Activities of Membership Organisations (G to S-O-S94)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Mining and Quarrying (B)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacturing (C)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Construction (F)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","WholeSale and Retail Trade; Repair of Motor Vehicles and Motorcycles (G)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Transportation and Storage (H)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Accommodation and Food Service Activities (I)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Information and Communication (J)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Financial and Insurance Activities (K)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Real Estate Activities (L)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Professional, Scientific and Technical Activities (M)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Administrative and Support Service Activities (N)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Education (P)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Human Health and Social Work Activities (Q)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Arts, Entertainment and Recreation (R)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Leather and Related Products (C15)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Wood and Wood Products, except Furniture (C16)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Coke and Refined Petroleum Products (C19)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Chemicals and Chemical Products (C20)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations (C21)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Rubber and Plastic Products (C22)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Other Non-Metallic Mineral Products (C23)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Computer, Electronic and Optical Products (C26)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Electrical Equipment (C27)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Manufacture of Machinery and Equipment n.e.c. (C28)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Repair and Installation of Machinery and Equipment (C33)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","WholeSale and Retail Trade and Repair of Motor Vehicles and Motorcycles (G45)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","WholeSale Trade, except of Motor Vehicles and Motorcycles (G46)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Trade, except of Motor Vehicles and Motorcycles (G47)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Land Transport and Transport Via Pipelines (H49)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Water Transport (H50)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Air Transport (H51)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Warehousing and Support Activities for Transportation (H52)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Postal and Courier Activities (H53)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Accommodation (I55)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Food and Beverage Service Activities (I56)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","ICT Total (C261 TO C264,C268,G465,J582,J61,J62,J631,S951)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Publishing Activities (J58)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Picture, Video and Television Programmes, Sound Recording and Music Publishing Activities (J59)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Programming and Broadcasting Activities (J60)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Telecommunications (J61)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Computer Programming, Consultancy and Related Activities (J62)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Information Service Activities (J63)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Financial Service Activities, except Insurance and Pension Funding (K64)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Insurance, Reinsurance and Pension Funding, except Compulsory Social Security (K65)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Activities Auxiliary to Financial Services and Insurance Activities (K66)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Real Estate Activities (L68)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Legal and Accounting Activities (M69)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Activities of Head Offices; Management Consultancy Activities (M70)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Architectural and Engineering Activities; Technical Testing and Analysis (M71)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Scientific Research and Development (M72)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Advertising and Market Research (M73)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Professional, Scientific and Technical Activities (M74)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Veterinary Activities (M75)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Rental and Leasing Activities (N77)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Employment Activities (N78)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Travel Agency, Tour Operator and Other Reservation Service and Related Activities (N79)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Security and Investigation Activities (N80)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Services to Buildings and Landscape Activities (N81)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Office Administrative, Office Support and Other Business Support Activities (N82)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Education (P85)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Human Health Activities (Q86)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Residential Care Activities (Q87)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Social Work Activities without Accommodation (Q88)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Creative, Arts and Entertainment Activities (R90)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Libraries, Archives, Museums and Other Cultural Activities (R90)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Gambling and Betting Activities (R92)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Sports Activities and Amusement and Recreation Activities (R93)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Repair of Computers and Personal and Household Goods (S95)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Personal Service Activities (S96)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale in Non-Specialised Stores (G471)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Food, Beverages and Tobacco in Specialised Stores (G472)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Automotive Fuel in Specialised Stores (G473)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Information and Communication Equipment in Specialised Stores (G474)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Other Household Equipment in Specialised Stores (G475)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Cultural and Recreation Goods in Specialised Stores (G476)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale of Other Goods in Specialised Stores (G477)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Sale via Stalls and Markets (G478)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Retail Trade not in Stores, Stalls or Markets (G479)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Computer Programming, Consultancy and Related Activities (J620)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Buying and Selling of Own Real Estate (L681)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Renting and Operating of Own or Leased Real Estate (L682)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Real Estate Activities on a Fee or Contract Basis (L683)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Legal Activities (M691)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Accounting, Bookkeeping and Auditing Activities; Tax Consultancy (M692)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Activities of Head Offices (M701)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Management Consultancy Activities (M702)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Architectural and Engineering Activities and Related Technical Consultancy (M711)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Technical Testing and Analysis (M712)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Research and Experimental Development on Natural Sciences and Engineering (M721)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Research and Experimental Development on Social Sciences and Humanities (722)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Advertising (M731)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Market Research and Public Opinion Polling (M732)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Specialised Design Activities (M741)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Photographic Activities (M742)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Translation and Interpretation Activities (M743)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Professional, Scientific and Technical Activities n.e.c. (M749)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Veterinary Activities (M750)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Renting and Leasing of Motor Vehicles (N771)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Renting and Leasing of Personal and Household Goods (N772)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Renting and Leasing of Other Machinery, Equipment and Tangible goods (N773)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Leasing of Intellectual Property and Similar Products, except Copyrighted Works (N774)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Activities of Employment Placement Agencies (N781)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Temporary Employment Agency Activities (N782)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Human Resources Provision (N783)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Travel Agency and Tour Operator Activities (N791)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Reservation Service and Related Activities (N799)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Private Security Activities (N801)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Security Systems Service Activities (N802)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Investigation Activities (N803)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Combined Facilities support Activities (N811)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Cleaning Activities (N812)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Landscape Service Activities (N813)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Office Administrative and Support Activities (N821)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Activities of Call Centres (N822)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Organisation of Conventions and Trade Shows (N823)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Business Support Service Activities n.e.c. (N829)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","ICT Manufacturing (C261 TO C264,C268)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Computer Programming Activities (J6201)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Computer Consultancy Activities (J6202)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Computer Facilities Management Activities (J6203)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Other Information Technology and Computer Service Activities (J6209)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Food Products, Beverages and Tobacco (C10 to C12)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Textiles and Wearing Apparel (C13,C14)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Paper and Paper Products; Printing and Reproduction of Recorded Media (C17,C18)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Basic Metals and Fabricated Metal Products (C24,C25)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Transport Equipment (C29,C30)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Furniture and Other Manufacturing (C31,C32)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","ICT Services (G465,J582,J61,J62,J631,S951)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Business Economy excluding Sector O and Activities of Membership Organisations (B to S-O-S94)","Number",""
"Preliminary Enterprise Deaths","2017","Under 10","Service Economy excluding Sector O and Activities of Membership Organisations (G to S-O-S94)","Number",""
"Preliminary Enterprise Deaths","2017","10 - 19","Mining and Quarrying (B)","Number",""
"Preliminary Enterprise Deaths","2017","10 - 19","Manufacturing (C)","Number",""
"Preliminary Enterprise Deaths","2017","10 - 19","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number",""
"Preliminary Enterprise Deaths","2017","10 - 19","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number",""
