"Statistic Label","Year","Employment Size","Activity","UNIT","VALUE"
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Mining and Quarrying (B)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacturing (C)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Construction (F)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","WholeSale and Retail Trade; Repair of Motor Vehicles and Motorcycles (G)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Transportation and Storage (H)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Accommodation and Food Service Activities (I)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Information and Communication (J)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Financial and Insurance Activities (K)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Real Estate Activities (L)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Professional, Scientific and Technical Activities (M)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Administrative and Support Service Activities (N)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Education (P)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Human Health and Social Work Activities (Q)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Arts, Entertainment and Recreation (R)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Leather and Related Products (C15)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Wood and Wood Products, except Furniture (C16)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Coke and Refined Petroleum Products (C19)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Chemicals and Chemical Products (C20)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations (C21)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Rubber and Plastic Products (C22)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Other Non-Metallic Mineral Products (C23)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Computer, Electronic and Optical Products (C26)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Electrical Equipment (C27)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Manufacture of Machinery and Equipment n.e.c. (C28)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Repair and Installation of Machinery and Equipment (C33)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","WholeSale and Retail Trade and Repair of Motor Vehicles and Motorcycles (G45)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","WholeSale Trade, except of Motor Vehicles and Motorcycles (G46)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Retail Trade, except of Motor Vehicles and Motorcycles (G47)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Land Transport and Transport Via Pipelines (H49)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Water Transport (H50)","Number",""
"Preliminary Enterprise Deaths","2017","All persons engaged size classes","Air Transport (H51)","Number",""
